true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,classifier,concept,control,control_val
415078,61814,119767,466197,1062856,0.45,0.83,0.5,0.78,-0.06,0.47,0.66,0.41,0.5,-0.11,-0.46,0.66,1.0,0.01,,message_length_avg_better,ccp_avg_better,language_code,0
250960,280637,283885,247374,1062856,0.5,0.47,0.5,0.47,0.0,0.5,0.5,0.32,0.5,0.0,-0.06,1.0,1.0,0.0,,message_length_avg_better,same_date_duration_avg_avg_better,language_code,0
274648,257910,260197,270101,1062856,0.5,0.51,0.5,0.51,0.0,0.5,0.5,0.34,0.5,0.0,-0.02,1.0,1.0,0.0,,message_length_avg_better,commit_period_avg_better,language_code,0
296709,281024,238136,246987,1062856,0.54,0.51,0.5,0.55,0.08,0.55,0.46,0.38,0.5,0.09,0.06,1.0,1.0,0.01,,message_length_avg_better,commit_days_avg_better,language_code,0
497490,70703,457308,37355,1062856,0.53,0.5,0.9,0.52,0.04,0.93,0.87,0.5,0.5,0.06,0.06,1.0,0.47,0.01,,refactor_mle_avg_better,message_length_avg_better,language_code,0
520446,55886,434352,52172,1062856,0.54,0.54,0.9,0.55,0.01,0.91,0.89,0.52,0.53,0.02,0.01,1.0,0.47,0.0,,refactor_mle_avg_better,commit_hours_better,language_code,0
954467,179,331,107879,1062856,0.9,1.0,0.9,1.0,0.0,0.9,0.65,0.9,0.9,0.0,-0.1,0.01,0.47,0.0,,refactor_mle_avg_better,owned_repository_avg_better,language_code,0
574974,57716,379824,50342,1062856,0.6,0.59,0.9,0.6,0.02,0.92,0.87,0.57,0.57,0.04,0.01,0.98,0.47,0.0,,refactor_mle_avg_better,files_edited_avg_better,language_code,0
799292,26075,155506,81983,1062856,0.78,0.83,0.9,0.84,0.01,0.91,0.86,0.77,0.76,0.02,-0.06,0.66,0.47,0.0,,refactor_mle_avg_better,ccp_avg_better,language_code,0
444450,54174,510348,53884,1062856,0.47,0.47,0.9,0.47,-0.01,0.89,0.9,0.44,0.48,-0.01,-0.12,1.0,0.47,0.0,,refactor_mle_avg_better,same_date_duration_avg_avg_better,language_code,0
491382,54691,463416,53367,1062856,0.51,0.51,0.9,0.51,0.0,0.9,0.89,0.49,0.51,0.01,0.0,1.0,0.47,0.0,,refactor_mle_avg_better,commit_period_avg_better,language_code,0
494654,59016,460144,49042,1062856,0.52,0.51,0.9,0.52,0.01,0.91,0.89,0.49,0.51,0.02,0.02,1.0,0.47,0.0,,refactor_mle_avg_better,commit_days_avg_better,language_code,0
309297,264690,263321,225548,1062856,0.54,0.5,0.54,0.54,0.07,0.58,0.5,0.39,0.5,0.08,0.07,1.0,1.0,0.0,,commit_hours_better,message_length_avg_better,language_code,0
520446,55886,52172,434352,1062856,0.54,0.9,0.54,0.91,0.01,0.55,0.48,0.52,0.53,0.02,-0.4,0.47,1.0,0.0,,commit_hours_better,refactor_mle_avg_better,language_code,0
572397,289,221,489949,1062856,0.54,1.0,0.54,1.0,0.0,0.54,0.43,0.54,0.54,0.0,-0.46,0.01,1.0,0.0,,commit_hours_better,owned_repository_avg_better,language_code,0
