cases,developers,a_Is_Company,message_length_avg_better,refactor_mle_avg_better,commit_hours_better,message_length_avg_same,commit_hours_same,owned_repository_avg_better,files_edited_avg_better,ccp_avg_better,same_date_duration_avg_avg_better,commit_period_avg_better,commit_days_avg_better
3297,174,true,0,1,0,0,0,1,0,1,0,1,0
971,176,true,1,0,0,0,0,1,0,0,0,1,0
4383,177,true,0,1,0,0,0,1,1,1,1,0,0
883,179,false,0,0,0,0,0,1,0,0,0,0,0
1610,183,true,0,1,0,0,0,1,0,1,1,1,0
2668,186,true,1,1,0,0,0,1,0,0,0,1,0
3500,186,true,0,0,0,0,0,1,1,1,1,0,0
1086,188,false,1,0,0,0,0,1,0,1,0,0,0
1094,188,false,0,0,0,0,0,1,0,1,1,1,0
996,189,false,0,1,0,0,0,1,0,0,1,0,0
3221,453,false,0,0,0,0,0,1,0,1,1,0,0
3991,200,true,0,0,0,0,0,1,0,1,0,1,0
870,203,false,1,0,0,0,0,1,0,0,0,0,0
5082,209,false,1,1,0,0,0,1,0,1,0,0,0
1244,211,false,1,0,0,0,0,1,0,1,1,0,0
7522,729,true,0,0,0,0,0,1,0,1,1,0,0
1093,218,false,1,0,0,0,0,1,0,0,1,0,0
1520,222,false,1,1,0,0,0,1,0,0,1,0,0
5740,227,true,0,1,0,0,0,1,0,0,0,0,0
3198,235,false,1,1,0,0,0,1,0,1,1,0,0
4059,237,false,0,1,0,0,0,1,0,1,0,0,0
1786,238,false,1,1,0,0,0,1,0,0,0,0,0
7360,501,true,0,1,0,0,0,1,0,1,1,0,0
1,1,true,1,1,1,1,1,1,0,1,1,0,0
51,1,false,1,1,1,1,1,1,0,1,1,0,0
1,1,true,1,1,1,1,0,1,0,0,0,0,0
1,1,true,1,1,1,1,1,1,0,1,1,1,0
1,1,true,1,1,1,1,0,1,1,1,1,1,0
1,1,true,1,1,1,1,0,1,0,1,1,0,1
2,2,true,1,1,1,1,0,1,1,1,1,0,0
4,2,true,1,1,1,1,0,1,0,1,0,0,1
14,2,false,1,1,1,1,0,1,0,1,1,0,1
55,2,false,1,1,1,1,1,1,0,1,1,1,0
16,2,false,1,1,1,1,0,1,0,1,1,0,0
7,3,true,1,1,1,1,1,1,1,1,0,0,1
3,3,true,1,1,1,1,0,1,1,1,1,0,1
6,3,true,1,1,1,1,1,1,0,1,0,0,1
5,3,true,1,1,1,1,1,1,1,1,1,0,1
5,3,true,1,1,1,1,1,1,1,1,1,1,0
16,4,false,1,1,1,1,1,1,0,1,1,0,1
7,4,true,1,1,1,1,0,1,0,1,1,1,1
8,4,true,1,1,1,1,0,1,0,1,0,0,0
386,4,false,1,1,1,1,0,1,0,1,0,1,0
35,4,false,1,1,1,1,0,1,0,1,1,1,0
16,5,false,1,1,1,1,0,1,1,1,1,0,0
509,5,false,1,1,1,1,0,1,0,1,0,0,0
30,5,false,1,1,1,1,1,1,1,1,1,0,1
27,5,false,1,1,1,1,0,1,1,1,1,1,0
12,6,true,1,1,1,1,1,1,1,1,0,1,0
8,6,true,1,1,1,1,0,1,1,1,0,1,0
9,6,true,1,1,1,1,1,1,0,1,0,1,0
405,6,false,1,1,1,1,1,1,0,1,0,1,0
12,6,true,1,1,1,1,1,1,1,1,0,0,0
24,6,false,1,1,1,1,1,1,1,1,1,1,0
21,6,true,1,1,1,1,0,1,1,1,0,0,0
15,6,true,1,1,1,1,1,1,0,1,0,0,0
82,7,false,1,1,1,1,0,1,0,1,1,1,1
15,7,true,1,1,1,1,0,1,1,1,1,1,1
763,7,false,1,1,1,1,1,1,0,1,0,0,0
31,7,false,1,1,1,1,1,1,1,1,1,0,0
15,8,true,1,1,1,1,0,1,1,1,0,0,1
21,8,true,1,1,1,1,0,1,0,1,0,1,1
270,10,false,1,1,1,1,1,1,1,1,0,0,0
152,10,false,1,1,1,1,1,1,0,1,0,0,1
1448,266,true,0,0,1,0,0,1,1,0,1,1,1
40,11,false,1,1,1,1,0,1,1,1,1,0,1
219,11,false,1,1,1,1,0,1,0,1,0,0,1
261,11,false,1,1,1,1,0,1,1,1,0,1,0
295,12,false,1,1,1,1,0,1,1,1,0,0,0
24,12,false,1,0,1,0,1,1,1,0,1,0,0
25,13,false,0,0,1,0,1,1,1,0,1,1,0
24,14,false,1,0,1,0,1,1,0,1,0,0,1
276,14,false,1,1,1,1,1,1,0,1,0,1,1
607,14,false,1,1,1,1,0,1,0,1,0,1,1
36,14,false,1,0,1,0,1,1,0,1,1,0,1
198,14,false,1,1,1,1,1,1,1,1,0,1,0
24,15,false,0,1,1,0,1,1,0,0,1,0,1
44,15,false,1,1,1,1,1,1,0,1,1,1,1
25,16,false,1,0,1,0,0,1,1,1,1,0,0
28,16,false,1,0,1,0,1,1,1,0,1,1,0
24,16,false,0,0,1,0,0,1,1,1,1,1,0
41,16,true,1,1,1,1,0,1,1,1,0,1,1
37,17,false,1,0,1,0,1,1,1,1,0,1,0
33,17,false,1,0,1,0,1,1,1,1,1,1,0
29,17,false,1,0,1,0,0,1,1,1,1,1,0
26,18,false,0,0,1,0,0,1,1,0,1,0,0
35,18,false,1,0,1,0,0,1,1,0,1,0,0
374,18,false,1,1,1,1,1,1,1,1,0,0,1
330,18,false,1,1,1,1,0,1,1,1,1,1,1
97,18,true,1,0,1,0,1,1,1,0,1,1,0
160,18,true,1,0,1,0,1,1,1,1,1,1,0
71,18,true,1,0,1,0,1,1,0,1,1,0,1
31,18,false,0,1,1,0,1,1,0,0,0,0,1
25,18,false,1,0,1,0,1,1,0,0,0,0,1
2766,274,false,0,1,1,0,0,1,1,1,1,1,1
61,19,false,0,0,1,0,1,1,0,0,0,1,1
99,19,true,1,0,1,0,1,1,0,1,0,0,1
15468,787,true,1,1,1,0,0,1,1,0,0,1,1
42,20,false,1,0,1,0,0,1,0,1,1,0,0
32,20,false,0,0,1,0,0,1,1,0,0,0,0
35,20,false,0,0,1,0,1,1,0,0,0,0,1
27,20,false,0,0,1,0,0,1,1,1,1,0,0
34,20,false,1,0,1,0,0,1,1,0,1,1,0
2437,276,false,1,0,1,0,0,1,1,0,0,1,1
44,21,false,0,0,1,0,1,1,1,0,0,0,1
84,21,true,1,0,1,0,0,1,1,0,1,0,0
50,21,true,0,0,1,0,0,1,1,0,1,1,0
39,21,false,1,0,1,0,0,1,1,1,0,0,0
30,21,false,0,0,1,0,0,1,1,0,1,1,0
69,21,true,1,1,1,1,1,1,0,1,0,1,1
116,21,true,1,0,1,0,1,1,1,1,1,0,0
